tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,labels
7.70982605,9.587324303,4.242983885,3.378707467,4.085371552,-1.005443837,-1.233724313,-1.846203402,0.989276406,0.657709026,0.34294597,0.22572974,0
9.072962157,8.956665805,2.257990973,8.828762831,4.119240324,-0.845821272,-1.995873342,-1.27754571,0.391326269,0.776828864,0.305488399,0.904340357,0
6.637130184,6.403878385,6.591696078,3.270969372,3.431954518,-1.110138087,-1.215880698,-1.105935733,0.266926614,0.158837119,0.581944553,0.282121229,0
3.781821333,6.958464221,9.534040515,4.360421431,3.108559588,-1.526663202,-0.61152339,-0.970372995,0.547499911,0.275347749,0.977965974,0.516395776,0
4.02799001,7.033109142,5.502835247,7.648689166,4.212747049,-1.524316356,-0.93620556,-1.752225132,0.781142097,0.371950599,0.638914272,0.295798365,0
4.232674467,5.390352064,5.83440704,2.120042647,3.520354812,-0.505614065,-1.277854938,-1.736885809,0.405887332,0.095525376,0.925483233,0.672818102,0
7.677662105,7.926708846,8.559282535,9.786497345,4.37761235,-1.904357076,-1.51707062,-0.956184654,0.526482148,0.780889456,0.564465381,0.495441106,0
2.869571989,1.748959554,3.193347682,7.39913065,2.76866018,-0.640326559,-0.867188431,-1.261145189,0.349680022,0.099278699,0.943483226,0.943215085,0
0.542581899,6.164802121,7.143571985,5.510557107,3.539040758,-1.604257967,-1.001187687,-0.933595104,0.108723257,0.24581077,0.819100767,0.410147797,0
5.650087887,7.856742793,3.635466591,6.388242279,3.803053134,-0.848482029,-1.086572994,-1.867998111,0.573802831,0.663376036,0.45748388,0.99228177,0
3.712481829,4.974952458,8.444139044,2.412446831,4.162972811,-0.725621265,-1.442951828,-1.994399717,0.741640751,0.327645993,0.807104272,0.996974629,0
4.727359149,3.072431188,1.456835249,5.752624952,4.590147727,-1.248197349,-1.42723072,-1.914719657,0.682836626,0.920525408,0.502802882,0.252449299,0
6.103545689,5.155971132,3.823413097,6.358033945,5.368992536,-1.942884944,-1.89520492,-1.530902672,0.395553523,0.537306582,0.339208339,0.825883685,0
8.843714828,7.757041983,7.909535485,6.056500738,3.021162629,-0.851321037,-1.337501294,-0.832340298,0.752417484,0.706104101,0.67625157,0.946997072,0
8.786160509,3.675397367,8.037944289,1.951497278,3.45004795,-0.587549638,-0.998456808,-1.864041504,0.37026085,0.880291605,0.556243417,0.8202221,0
7.58989867,0.743546197,6.6825015,7.13512151,5.318167268,-1.886649927,-1.752717776,-1.678799565,0.59421673,0.40163651,0.588172675,0.553951496,0
4.947582341,5.277054471,9.568273625,1.616577684,2.820188676,-0.75463697,-1.197487522,-0.868064183,0.938591502,0.783745163,0.836525042,0.970528845,0
8.066933049,4.335746831,2.607058614,7.548157662,3.729202673,-1.547977977,-0.680791277,-1.500433419,0.940422333,0.741102969,0.457607745,0.805374844,0
4.279213305,1.468509686,6.623411766,6.050631516,4.55462039,-1.99311309,-1.106711047,-1.454796253,0.243488096,0.905472853,0.493313115,0.773545597,0
8.529714027,9.617590792,0.759567355,7.206828983,3.762414874,-1.138984696,-1.635200169,-0.988230009,0.253538301,0.469042737,0.684904705,0.78407927,0
8.822775996,8.030337398,8.388753186,2.071342822,5.059147033,-1.323065603,-1.916668922,-1.819412508,0.905805591,0.380945097,0.626416449,0.481123601,0
8.757372743,8.137797006,3.184345062,8.983952936,4.285288097,-1.461419782,-0.90559,-1.918278315,0.171077922,0.911104879,0.298608415,0.36064877,0
5.834674831,1.697848891,2.0483805,9.152819967,3.143063413,-0.501098496,-1.143203007,-1.49876191,0.848838651,0.946422145,0.197775736,0.744444992,0
8.298831738,9.810728278,9.729571039,2.182364188,3.510531152,-1.195753946,-0.720728308,-1.594048897,0.244381399,0.165942533,0.967860133,0.330341,0
5.576053797,5.883112913,4.676584628,6.626427081,5.289077572,-1.678186809,-1.733615069,-1.877275694,0.719023463,0.755065613,0.540152605,0.750461167,0
8.636979186,9.384898246,9.89524859,1.940942186,4.049211174,-1.372378578,-1.651456827,-1.02537577,0.683660408,0.565944743,0.245936762,0.172291969,0
7.634392724,6.667261267,7.049753698,1.274694734,2.172094311,-0.89865042,-0.605990872,-0.667453019,0.17644065,0.448486584,0.739171103,0.340315204,0
3.834691463,1.240124726,8.958513168,6.959325906,5.163159884,-1.855463556,-1.709998161,-1.597698167,0.62929504,0.32484937,0.396881415,0.574222438,0
9.887230392,8.741852048,7.847250016,2.821234,2.845499657,-0.842145013,-0.9837694,-1.019585244,0.446349206,0.357273196,0.533998946,0.830012956,0
9.5948831,2.924959405,5.089611927,7.808525298,4.04467021,-1.405576249,-1.952315097,-0.686778865,0.440967942,0.169036768,0.204993011,0.740695484,0
4.109838876,3.744557766,3.688223293,3.541962251,4.174198462,-0.975429456,-1.248822931,-1.949946075,0.746400229,0.431950865,0.202931146,0.488524344,0
6.710166368,3.765204184,6.929314439,8.818561923,2.397419229,-0.614589562,-1.208825891,-0.574003776,0.177889561,0.39797658,0.402045952,0.376630279,0
4.805144223,7.637335019,8.274208841,5.699333144,2.931728138,-0.682721377,-0.559503245,-1.689503516,0.572092265,0.403185475,0.534214194,0.335307591,0
2.955190169,6.715971627,5.796978029,5.044065054,4.2170405,-1.587409492,-1.391160304,-1.238470704,0.234335361,0.63268352,0.913652935,0.357463392,0
9.682909677,9.891262697,2.319342141,2.639456264,4.605732185,-1.038114955,-1.601267704,-1.966349526,0.831904364,0.243579821,0.377335301,0.423237266,0
6.923954663,3.570330278,0.927206783,7.687910385,4.772977083,-1.033528192,-1.89823172,-1.841217171,0.312149129,0.424370771,0.447777488,0.806523966,0
3.644806144,9.380228352,3.670474955,6.622532541,3.484188803,-1.718517111,-0.796619029,-0.969052663,0.423684642,0.421304023,0.64572828,0.527749353,0
1.132107594,2.920324023,8.951078545,7.248583478,5.033680553,-1.846079542,-1.362777409,-1.824823603,0.352291991,0.524172882,0.599003856,0.674389868,0
7.234001762,2.671755166,3.921582182,8.251998973,3.871428998,-1.054545504,-1.0108068,-1.806076694,0.977977147,0.940090861,0.449653055,0.301212144,0
8.744648758,8.736743494,9.015626594,6.930884913,4.568498814,-1.133048667,-1.694065044,-1.741385104,0.443456007,0.444988715,0.47268476,0.099363404,0
4.326384988,4.436000204,4.788771251,1.622820359,4.48687159,-1.44897776,-1.995213313,-1.042680517,0.712843819,0.946749496,0.066609078,0.243592228,0
7.753730645,4.23982871,9.725339095,2.911324537,4.281664019,-1.824454459,-1.779793501,-0.677416058,0.365728451,0.604288351,0.593177392,0.074864541,0
0.628642612,5.825346097,3.739617809,7.374628988,3.541521357,-1.141273964,-1.630519848,-0.769727545,0.981120525,0.460229233,0.902376694,0.608289508,0
8.610910555,2.11923648,9.038752791,9.445333266,3.135891108,-0.977123989,-1.052052269,-1.10671485,0.732062916,0.40444088,0.326271695,0.166501118,0
8.211839585,2.440480427,7.642188572,6.129576494,5.241044156,-1.896987934,-1.553469064,-1.790587158,0.981858884,0.318645795,0.576057049,0.179664685,0
5.58339154,2.836563837,7.373034985,4.954397147,3.43882995,-1.768538562,-1.056902855,-0.613388533,0.865559347,0.933840588,0.190233956,0.870755757,0
8.70016833,9.346454528,4.118079872,5.275772331,2.411827277,-0.856023129,-0.770819929,-0.784984219,0.96649979,0.815590079,0.453752167,0.435150141,0
4.982935032,9.220904518,2.205590238,5.699910992,4.256601598,-1.710545552,-1.600219816,-0.94583623,0.440609527,0.869631275,0.996890013,0.922230793,0
5.902374075,1.139160761,7.779779936,9.718296311,4.367322539,-1.971150198,-0.755320065,-1.640852276,0.475302777,0.987913214,0.814727529,0.323529226,0
2.965102204,0.98206092,5.635254517,3.403391088,4.369104042,-0.919860463,-1.582925459,-1.866318121,0.571882911,0.764017045,0.826465203,0.689272447,0
5.664416647,7.017071064,4.903916996,3.025838863,3.958183387,-0.514959507,-1.73195961,-1.71126427,0.182996639,0.758686746,0.154530211,0.913355722,0
6.316333109,8.643015647,7.005338653,7.069589994,5.226592767,-1.562824993,-1.87743379,-1.786333984,0.264312497,0.346731428,0.505202413,0.429108982,0
2.492975043,8.527956534,4.416662133,8.893588517,3.130692317,-1.2961303,-1.204978069,-0.629583948,0.880180077,0.766262569,0.33659964,0.180041567,0
8.999056645,2.989878329,4.474151999,8.043460787,4.214334356,-1.952624218,-0.904895653,-1.356814484,0.867348677,0.70055279,0.836275648,0.931029797,0
9.754081219,2.587997679,4.152751777,7.379718615,3.496020044,-0.821421091,-1.385401672,-1.289197281,0.231446845,0.598327729,0.567078048,0.842146197,0
4.239745956,6.4778615,6.694164956,5.675507226,3.814608393,-0.677406686,-1.386637094,-1.750564613,0.655428198,0.99032391,0.546812806,0.347276496,0
4.023446944,1.418843737,5.165817372,6.176094591,2.98379709,-0.662452783,-1.691461061,-0.629883246,0.926637726,0.984061571,0.784279997,0.950580563,0
6.781419782,6.584450848,9.396381168,2.795384098,4.285639172,-1.241243238,-1.950656614,-1.09373932,0.970705525,0.595617133,0.502581894,0.148648935,0
9.430779779,7.740887795,9.916285839,4.708280855,4.303975444,-1.399158456,-1.078293643,-1.826523345,0.308270433,0.880717695,0.811203776,0.498518034,0
5.759187739,3.401801528,3.33126003,8.286993508,4.1523051,-1.557036001,-0.717747747,-1.877521352,0.216677529,0.958106027,0.769059422,0.109572016,0
4.125018556,7.518697755,5.206119668,4.812981368,4.335032269,-1.428192228,-0.969515465,-1.937324576,0.607584669,0.41398992,0.712263607,0.096076767,0
6.149441051,4.163089301,1.878236666,4.220389885,5.040430743,-1.847623262,-1.822868116,-1.369939365,0.102369105,0.733639804,0.914513135,0.379350506,0
5.480923738,7.030502072,1.466778915,3.292048422,2.762335479,-0.870138348,-0.832752246,-1.059444886,0.556434694,0.5900277,0.474638077,0.402731467,0
2.534801385,4.287765204,6.164399886,6.565016736,3.07342159,-0.813922803,-1.076000956,-1.183497831,0.987882586,0.754394408,0.07172059,0.386065083,0
5.168894916,1.244143213,6.646186351,4.301870756,4.421201006,-1.662823429,-1.637215113,-1.121162464,0.604318269,0.258101505,0.07243977,0.841567336,0
