"Cell Number,motif,motif.1,motif.2,motif.3,motif.4,Nalm 6 Cytotoxicity"
"2746,12,9,10,14,0,0.207063911"
"4208,3,6,12,14,0,0.73986604"
"928,6,8,11,14,0,0.854397557"
"2128,12,12,11,14,0,0.63470872"
"418,1,6,2,14,0,0.975838764"
"2780,8,6,3,14,0,0.761623248"
"11301,1,7,10,14,0,0.266907573"
"4827,7,1,6,14,0,0.845628147"
"4552,9,1,1,14,0,0.342823448"
"6717,10,10,9,14,0,0.2915224"
"7504,10,7,9,14,0,0.188935424"
"499,3,9,8,14,0,0.847729781"
"5152,7,1,12,14,0,0.503772358"
"1574,3,8,10,14,0,0.704743041"
"1388,10,10,7,10,14,0.379791046"
"5755,8,11,2,14,0,0.493475861"
"8209,7,8,9,14,0,0.752974796"
"4866,8,4,11,14,0,0.487140719"
"776,11,5,11,14,0,0.949500295"
"2002,8,12,7,14,0,0.666384433"
"12561,6,6,11,14,0,0.850300125"
"8837,6,11,11,14,0,0.476632547"
"2393,6,9,3,14,0,0.748484253"
"3820,9,7,2,14,0,0.257351941"
"5237,3,8,7,14,0,0.582636568"
"3593,7,1,6,14,0,0.871225752"
"5353,12,3,2,14,0,0.607145557"
"1495,11,10,10,14,0,0.855894404"
"6757,10,7,2,14,0,0.392718366"
"3136,1,10,2,14,0,0.836541224"
"321,11,12,11,14,0,1.005654757"
"4321,11,9,2,14,0,0.447043348"
"4006,12,6,5,14,0,0.830795748"
"15065,1,8,7,14,0,0.856952781"
"2552,11,6,12,14,0,0.443611183"
"2040,10,10,9,14,0,0.209649375"
"1568,11,10,6,14,0,0.479338968"
"2303,8,2,11,7,14,0.593598331"
"442,2,7,8,14,0,0.866765449"
"1118,1,2,11,14,0,0.886284945"
"928,12,12,8,14,0,0.7213898"
"2227,8,8,3,14,0,0.776243971"
"9618,10,10,10,14,0,0.661334462"
"1491,1,13,14,0,0,0.686478477"
"3554,11,11,11,6,14,0.460378899"
"6623,10,14,0,0,0,0.37731142"
"3365,2,8,3,14,0,0.751084836"
"5371,6,8,8,3,14,0.764375028"
"5331,10,1,12,14,0,0.439604469"
"1947,1,1,10,14,0,0.31179788"
"4760,8,2,5,14,0,0.959781672"
"1484,10,8,8,14,0,0.802023012"
"2090,10,9,9,14,0,0.330606752"
"4278,11,11,9,10,14,0.093197659"
"2814,12,11,3,14,0,0.565551339"
"2392,13,6,11,14,0,0.735012625"
"954,9,9,9,14,0,0.331030103"
"1429,3,6,6,14,0,0.805107425"
"4063,13,2,8,14,0,0.519587535"
"3685,10,6,3,14,0,0.528674458"
"2647,2,2,8,14,0,0.777408186"
"1310,8,8,8,14,0,0.891954822"
"13379,3,8,11,14,0,0.633045556"
"6243,11,10,7,14,0,0.11206701"
"2050,11,5,11,14,0,0.876547876"
"2964,6,1,13,14,0,0.470554438"
"6955,10,9,2,14,0,0.281770211"
