ticker,mu,AAPL,MSFT,NVDA,CRM,ADBE,XOM,CVX,COP,SLB,EOG,JPM,BAC,GS,MS,BLK,JNJ,UNH,PFE,ABT,TMO,PG,KO,PEP,WMT,COST,CAT,HON,UPS,GE,RTX,NEE,DUK,SO,D,AEP,AMT,PLD,CCI,EQIX,SPG
AAPL,0.272,0.0796,0.0282,0.0505,0.0281,0.0300,0.0118,0.0156,0.0207,0.0314,0.0153,0.0252,0.0304,0.0397,0.0382,0.0350,0.0024,-0.0016,0.0150,0.0071,0.0237,0.0083,0.0053,0.0087,0.0186,0.0181,0.0329,0.0242,0.0302,0.0309,0.0087,0.0066,-0.0038,-0.0023,0.0063,-0.0004,-0.0000,0.0295,0.0041,0.0160,0.0269
MSFT,0.021,0.0282,0.0609,0.0609,0.0445,0.0331,-0.0011,0.0046,0.0071,0.0121,0.0047,0.0188,0.0186,0.0284,0.0294,0.0221,-0.0081,0.0014,0.0020,-0.0010,0.0136,-0.0041,-0.0055,-0.0053,0.0083,0.0112,0.0175,0.0113,0.0124,0.0219,0.0057,-0.0030,-0.0064,-0.0072,-0.0038,-0.0049,-0.0059,0.0110,-0.0013,0.0131,0.0120
NVDA,0.579,0.0505,0.0609,0.2360,0.0503,0.0370,0.0033,0.0127,0.0217,0.0353,0.0156,0.0363,0.0324,0.0652,0.0634,0.0424,-0.0249,0.0003,-0.0027,-0.0078,0.0239,-0.0173,-0.0188,-0.0190,0.0056,0.0143,0.0575,0.0218,0.0128,0.0656,0.0188,-0.0024,-0.0233,-0.0236,-0.0156,-0.0193,-0.0281,0.0142,-0.0184,0.0320,0.0226
CRM,-0.195,0.0281,0.0445,0.0503,0.1373,0.0758,0.0047,0.0108,0.0194,0.0212,0.0134,0.0246,0.0266,0.0369,0.0382,0.0264,-0.0080,0.0177,0.0081,0.0029,0.0269,-0.0046,-0.0074,-0.0039,0.0051,0.0113,0.0185,0.0138,0.0152,0.0169,0.0091,-0.0087,-0.0091,-0.0088,-0.0057,-0.0099,-0.0092,0.0122,-0.0021,0.0160,0.0212
ADBE,-0.301,0.0300,0.0331,0.0370,0.0758,0.1186,0.0051,0.0098,0.0145,0.0195,0.0123,0.0212,0.0217,0.0290,0.0293,0.0256,-0.0038,0.0151,0.0107,0.0056,0.0259,0.0010,-0.0004,0.0017,0.0077,0.0167,0.0131,0.0167,0.0154,0.0144,0.0042,-0.0033,-0.0038,-0.0055,-0.0038,-0.0081,-0.0001,0.0204,0.0064,0.0197,0.0190
XOM,0.186,0.0118,-0.0011,0.0033,0.0047,0.0051,0.0565,0.0457,0.0586,0.0529,0.0506,0.0139,0.0137,0.0145,0.0132,0.0115,0.0065,0.0024,0.0096,0.0033,0.0110,0.0023,0.0059,0.0079,0.0029,0.0032,0.0182,0.0112,0.0137,0.0045,0.0106,0.0137,0.0053,0.0065,0.0088,0.0066,0.0030,0.0157,0.0079,0.0034,0.0113
CVX,0.139,0.0156,0.0046,0.0127,0.0108,0.0098,0.0457,0.0548,0.0577,0.0526,0.0497,0.0184,0.0174,0.0187,0.0190,0.0152,0.0050,0.0062,0.0116,0.0040,0.0145,0.0007,0.0039,0.0073,0.0042,0.0038,0.0211,0.0126,0.0158,0.0099,0.0104,0.0112,0.0036,0.0044,0.0086,0.0042,0.0019,0.0172,0.0066,0.0048,0.0139
COP,0.073,0.0207,0.0071,0.0217,0.0194,0.0145,0.0586,0.0577,0.0960,0.0709,0.0721,0.0252,0.0251,0.0271,0.0284,0.0217,0.0042,0.0072,0.0129,0.0008,0.0190,-0.0020,0.0010,0.0060,0.0068,0.0037,0.0298,0.0190,0.0193,0.0130,0.0166,0.0142,0.0033,0.0041,0.0093,0.0034,0.0002,0.0207,0.0071,0.0117,0.0208
SLB,0.160,0.0314,0.0121,0.0353,0.0212,0.0195,0.0529,0.0526,0.0709,0.1190,0.0584,0.0344,0.0351,0.0476,0.0443,0.0357,0.0055,0.0132,0.0211,0.0080,0.0352,0.0058,0.0040,0.0096,0.0102,0.0080,0.0569,0.0346,0.0370,0.0309,0.0205,0.0172,-0.0001,0.0026,0.0111,0.0020,0.0037,0.0350,0.0072,0.0140,0.0277
EOG,0.097,0.0153,0.0047,0.0156,0.0134,0.0123,0.0506,0.0497,0.0721,0.0584,0.0752,0.0180,0.0160,0.0199,0.0202,0.0147,0.0034,0.0062,0.0099,0.0009,0.0120,-0.0019,0.0018,0.0051,0.0051,0.0053,0.0233,0.0144,0.0140,0.0109,0.0122,0.0116,0.0027,0.0039,0.0076,0.0018,0.0004,0.0189,0.0052,0.0093,0.0167
